team,region_name,location_name,trip_code,set_code,set_date,wkt_coordinates,latitude,longitude,depth,site_name,reef_name,reef_habitat_name,drop_time,haul_time,equipment_frame_type,equipment_camera,equipment_stereo_camera,equipment_camera_height,equipment_arm_length,bait_preparation,bait_type,bait_oiled,visibility,current_flow_estimated,current_flow_instrumented,video_file_name,video_source,video_path,comments,message_to_annotators,bruv_image_url,splendor_image_url,reviewed_assignments,total_assignments,master_record_state
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_037,2015-11-07,01010000004051D9B0260262407632384A5EBD2BC0,-13.86986000,144.06722300,22.30,Northern GBR 1,13-124,slope,15:10:00,16:28:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_037.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_038,2015-11-07,01010000004774CFBA460262407C2B1213D4C02BC0,-13.87661800,144.07113400,6.90,Northern GBR 1,13-124,flat,15:16:00,16:42:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_038.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_039,2015-11-07,010100000017D8632225026240224F92AE99C42BC0,-13.88398500,144.06703300,20.90,Northern GBR 1,13-124,slope,15:27:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_039.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_040,2015-11-07,0101000000FEBAD39D27026240F4DF83D72EB52BC0,-13.85387300,144.06733600,6.10,Northern GBR 1,13-124,crest,16:19:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_040.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_041,2015-11-07,0101000000A41CCC26400262405F27F56569BF2BC0,-13.87385100,144.07033100,9.20,Northern GBR 1,13-124,slope,16:41:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_041.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_042,2015-11-07,0101000000717495EE2E026240E9995E622CC32BC0,-13.88119800,144.06822900,22.10,Northern GBR 1,13-124,slope,17:02:00,18:09:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_042.mp4,,,,,,,1,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_043,2015-11-07,0101000000FF76D9AF3B026240E3A9471ADCC62BC0,-13.88839800,144.06978600,20.90,Northern GBR 1,13-124,slope,17:19:00,18:27:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_043.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_001,2015-11-01,0101000000CA8B4CC0AF0662401C7E37DDB2CB2BC0,-13.89784900,144.20895400,2.80,Northern GBR 1,Corbett Reef,flat,10:03:00,11:43:00,Rebar,GoPro Hero4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_001.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_002,2015-11-03,0101000000C823B891B20662409301A08A1BC72BC0,-13.88888200,144.20929800,15.70,Northern GBR 1,Corbett Reef,slope,10:22:00,11:56:00,Rebar,GoPro Hero4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCBC_002.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_003,2015-11-03,0101000000581CCEFCEA06624077103B53E8C42BC0,-13.88458500,144.21618500,15.30,Northern GBR 1,Corbett Reef,slope,10:38:00,12:12:00,Rebar,GoPro Hero4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_003.mp4,,,,,,,2,2,Completed
