region_name,location_name,site_name,site_type,reef_name,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,fishing_restrictions,shark_fishing_gear,region_id,location_id,site_id,reef_id
Pacific,Niue,Niue,V,Niue,restricted,,,,,,"gear, effort, species",gillnet; hook and line; longline; fish trap; spear,3,113,224,501
Pacific,Palau,Koror State,I,East,restricted,,,,,,"species, size, gear, temporal",hook and line; fish trap; spear; gillnet,3,88,194,429
Pacific,Palau,Koror State,I,East Lagoon,restricted,,,,,,"species, size, temporal, gear",gillnet; hook and line; fish trap; spear,3,88,194,456
Pacific,Palau,Koror State,I,West,restricted,,,,,,"size, temporal, gear, species",spear; fish trap; hook and line; gillnet,3,88,194,430
Pacific,Palau,Koror State,I,West Lagoon,restricted,,,,,,"temporal, gear, species, size",gillnet; fish trap; spear; hook and line,3,88,194,455
Pacific,Palau,Palau North,A,Kayangel,restricted,,,,,,"size, gear, species, temporal",fish trap; gillnet; hook and line; spear,3,88,189,375
Pacific,Palau,Palau North,A,Ngaruangel,restricted,Ngeruangel Reserve,10.00,1996,<20km to next reef,high,"temporal, entrants, area, effort, species, gear",hook and line; gillnet; spear; fish trap,3,88,189,398
Pacific,Panama,Tropic Star Lodge,C,Tropic Star Lodge MPA - Open,restricted,Tropic Star Exclusion Zone,3502.00,,continuous,medium,"gear, entrants, area, effort, species",,3,124,347,805
Pacific,Panama,Tropic Star Lodge,C,Tropic Star Lodge - Open,openly fished,,,,,,,hook and line; longline; trawl,3,124,347,806
Pacific,Samoa,Upolu,V,Aleipata,restricted,Aleipata Marine Protected Area,50.00,1999,<20km to next reef,medium,"size, temporal, gear",seine; hook and line,3,116,236,522
Pacific,Samoa,Upolu,V,Falealili,restricted,,,,,,"size, temporal, gear",fish trap; spear; seine; hook and line,3,116,236,523
Pacific,Tonga,Minerva Reef,A,North Minerva,restricted,,,,,,"species, gear, entrants",hook and line; spear; longline,3,94,256,561
Pacific,Tonga,Minerva Reef,A,South Minerva,restricted,,,,,,"species, entrants, gear",spear; longline; hook and line,3,94,256,562
Pacific,Tonga,Tonga,C,Tonga Reef 1,openly fished,,,,,,,,3,94,176,350
Pacific,Tonga,Tonga,C,Tonga Reef 2,openly fished,,,,,,,,3,94,176,387
Pacific,USA-Pacific,French Frigate Shoals,A,French Frigate Shoals,closed,Northwestern Hawaiian Islands Marine Refuge,360000.00,2006,>20km to next reef,high,"gear, species, effort, size, area",,3,66,271,588
Pacific,USA-Pacific,Hawaii,V,Kealakekua Bay,restricted,,,,,,"area, gear, species, effort, size",spear; hook and line,3,66,229,511
Pacific,USA-Pacific,Hawaii,V,Kona Airport,restricted,,,,,,"effort, gear, species, size",hook and line; spear,3,66,229,512
Pacific,USA-Pacific,Jarvis Island,A,Jarvis Reef,closed,Jarvis Island - PRIA,1734.40,2009,>20km to next reef,unknown,,,3,66,317,733
Pacific,USA-Pacific,Lanai,I,Lanai South,restricted,,,,,,"size, gear, species, effort, area",gillnet; hook and line; longline; spear,3,66,313,725
Pacific,USA-Pacific,Litsianski Island,A,Litsianski Island,closed,Northwestern Hawaiian Islands Marine Refuge,360000.00,2006,>20km to next reef,high,"effort, size, gear, area, species",,3,66,311,723
Pacific,USA-Pacific,Maui,I,Maui West,restricted,,,,,,"size, species, effort, area, gear",gillnet; longline; spear; hook and line,3,66,314,726
Pacific,USA-Pacific,Midway Atoll,A,Midway Atoll,closed,Northwestern Hawaiian Islands Marine Refuge,360000.00,2006,>20km to next reef,high,"gear, species, area, size, effort",,3,66,272,589
Pacific,USA-Pacific,Molokai,I,Molokai,restricted,,,,,,"area, gear, species, effort, size",spear; longline; hook and line; gillnet,3,66,315,727
Pacific,USA-Pacific,Oahu,I,Oahu,restricted,,,,,,"species, gear, effort, size, area",gillnet; longline; hook and line; spear,3,66,316,728
Pacific,USA-Pacific,Palmyra Atoll,C,Lagoon,openly fished,,,,,,,,3,66,145,193
Pacific,USA-Pacific,Palmyra Atoll,C,Reef,openly fished,,,,,,,,3,66,145,194
