region_name,location_name,site_name,reef_name,reef_type,trip_code,trip_year,set_code,maxn,common_name,genus,species,species_group,family,event_time_mil,event_time_mins,set_lat,set_long,visibility,depth,bait,current_flow_estimated,current_flow_instrumented,reef_id,set_id,master_set_id,animal_id
Western Atlantic,USA-Western Atlantic,Florida,Lower Keys 1,slope,FP_2016_US-A_01,2016,FL1_042,,,,,,,,,24.91666000,-81.83333000,,7.43,menhaden chum block,,,100,509,242,9999
Indian Ocean,Australia-Indian Ocean,Ashmore,Ashmore West,slope,FP_2016_AU-I_01,2016,ASAW_011,,,,,,,,,-12.21962800,122.98487200,,7.00,Pilchards,,,357,1264,2242,9999
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_006,1,Bluespotted maskray,Neotrygon,kuhlii,Ray,Dasyatidae,2757687,045:57:687,-18.48708300,146.88407600,9,20.10,Pilchards,,,230,2154,293,158
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_016,1,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,638093,010:38:093,-18.49308800,146.87459300,7,16.90,Pilchards,,,230,2164,94,257
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_016,1,Whitetip reef shark,Triaenodon,obesus,Shark,Carcharhinidae,2349137,039:09:137,-18.49308800,146.87459300,7,16.90,Pilchards,,,230,2164,94,144
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_024,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1600459,026:40:459,-18.47718100,146.88375500,9,12.70,Pilchards,,,230,2172,4289,114
Pacific,French Polynesia,Tubuai,Tubuai1,slope,FP_2017_PF_01,2017,TUB1_041,1,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,3006635,050:06:635,-23.39276000,-149.53691000,,11.00,Sardines,,,557,16552,20514,257
Pacific,French Polynesia,Moorea,Moorea3,slope,FP_2017_PF_01,2017,MM3_045,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,313771,005:13:771,-17.59702000,-149.79466000,,11.00,Yellowfin Tuna,,,555,16330,20654,114
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_028,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,764229,012:44:229,-16.78095000,-151.38782000,,11.00,Sardines,,,553,15944,20744,114
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_039,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,607700,010:07:700,-16.76995000,-151.39594000,,12.00,Sardines,,,553,15955,20751,114
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_033,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1022426,017:02:426,-16.74646000,-151.41792000,,9.00,Sardines,,,553,15949,20745,114
Pacific,French Polynesia,Moorea,Moorea3,slope,FP_2017_PF_01,2017,MM3_042,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,2917850,048:37:850,-17.58320000,-149.78622000,,11.00,Yellowfin Tuna,,,555,16327,20652,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_027,,,,,,,,,-18.49001600,146.88135000,9,11.30,Pilchards,,,230,2175,4331,9999
Pacific,French Polynesia,Tubuai,Tubuai1,slope,FP_2017_PF_01,2017,TUB1_044,,,,,,,,,-23.38001000,-149.54802000,,10.00,Sardines,,,557,16555,20645,9999
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_036,,,,,,,,,-16.75815000,-151.40671000,,11.00,Sardines,,,553,15952,20748,9999
Pacific,French Polynesia,Tubuai,Tubuai2,slope,FP_2017_PF_01,2017,TUB2_010,,,,,,,,,-23.42301000,-149.41951000,,14.00,Sardines,,,558,16571,20986,9999
Pacific,French Polynesia,Moorea,Moorea3,slope,FP_2017_PF_01,2017,MM3_043,1,Lemon shark,Negaprion,acutidens,Shark,Carcharhinidae,2810936,046:50:936,-17.58816000,-149.78835000,,10.00,Yellowfin Tuna,,,555,16328,20489,170
Pacific,French Polynesia,Moorea,Moorea3,slope,FP_2017_PF_01,2017,MM3_043,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,279564,004:39:564,-17.58816000,-149.78835000,,10.00,Yellowfin Tuna,,,555,16328,20489,114
Pacific,French Polynesia,Moorea,Moorea3,slope,FP_2017_PF_01,2017,MM3_050,3,Eagle Rays,Aetobatus,sp.,Ray,Aetobatidae,2733744,045:33:744,-17.50168000,-149.75572000,,12.00,Yellowfin Tuna,,,555,16335,20659,296
Pacific,French Polynesia,Moorea,Moorea3,slope,FP_2017_PF_01,2017,MM3_050,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,2036603,033:56:603,-17.50168000,-149.75572000,,12.00,Yellowfin Tuna,,,555,16335,20659,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_028,,,,,,,,,-18.49216800,146.87332700,9,29.00,Pilchards,,,230,2176,4332,9999
Pacific,French Polynesia,Amanu,Amanu 1,slope,FP_2017_PF_02,2017,TNU1_054,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,2342068,039:02:068,-17.74586000,-140.74686000,,14.00,Sardines,,,705,27315,20710,114
Pacific,French Polynesia,Tubuai,Tubuai1,slope,FP_2017_PF_01,2017,TUB1_004,,,,,,,,,-23.39203000,-149.53868000,,14.00,Sardines,,,557,16515,6951,9999
Pacific,French Polynesia,Takapoto,Takapoto2,slope,FP_2017_PF_01,2017,TPO2_008,3,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,458879,007:38:879,-14.68333000,-145.21527000,,15.00,Sardines,,,595,19133,15853,257
Pacific,French Polynesia,Takapoto,Takapoto2,slope,FP_2017_PF_01,2017,TPO2_008,4,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,3062829,051:02:829,-14.68333000,-145.21527000,,15.00,Sardines,,,595,19133,15853,114
Pacific,French Polynesia,Takapoto,Takapoto2,slope,FP_2017_PF_01,2017,TPO2_033,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,645530,010:45:530,-14.66838000,-145.20776000,,12.00,Sardines,,,595,19158,15951,114
Pacific,French Polynesia,Maupiti,Maupiti2,slope,FP_2016_PF_01,2016,MUMU2_010,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,928357,015:28:357,-16.44897000,-152.29709000,,12.00,Fish Heads and Scraps,,,473,15776,7072,114
