"set_id","shark_trophic_group","shark_trophic_numeric","sum_shark_trophic","set_composition"
"36898","lower order",1,1,"lower"
"6417","lower order",1,1,"lower"
"7005","lower order",1,1,"lower"
"37015","lower order",1,1,"lower"
"37016","lower order",1,1,"lower"
"37017","lower order",1,1,"lower"
"37018","lower order",1,1,"lower"
"37019","lower order",1,1,"lower"
"37020","lower order",1,1,"lower"
"37021","lower order",1,1,"lower"
"37022","lower order",1,1,"lower"
"37023","lower order",1,1,"lower"
"37024","lower order",1,1,"lower"
"37027","lower order",1,1,"lower"
"37029","lower order",1,1,"lower"
"37030","lower order",1,1,"lower"
"37032","lower order",1,1,"lower"
"37034","lower order",1,1,"lower"
"37036","lower order",1,1,"lower"
"37038","lower order",1,1,"lower"
"37039","lower order",1,1,"lower"
"37046","lower order",1,1,"lower"
"37048","lower order",1,1,"lower"
"37050","lower order",1,1,"lower"
"37051","lower order",1,1,"lower"
"37052","lower order",1,1,"lower"
"37053","lower order",1,1,"lower"
"37054","lower order",1,1,"lower"
"37055","lower order",1,1,"lower"
"37056","lower order",1,1,"lower"
"37059","lower order",1,1,"lower"
"37061","lower order",1,1,"lower"
"37062","lower order",1,1,"lower"
"37063","lower order",1,1,"lower"
"34186","lower order",1,1,"lower"
"19384","lower order",1,1,"lower"
"17181","lower order",1,1,"lower"
"17202","lower order",1,1,"lower"
"4265","lower order",1,1,"lower"
"37082","lower order",1,1,"lower"
"31651","lower order",1,1,"lower"
"37087","lower order",1,1,"lower"
"37088","lower order",1,1,"lower"
"37089","lower order",1,1,"lower"
"37090","lower order",1,1,"lower"
"37091","lower order",1,1,"lower"
"37093","lower order",1,1,"lower"
"34193","lower order",1,1,"lower"
"19402","lower order",1,1,"lower"
"17182","lower order",1,1,"lower"
"17207","lower order",1,1,"lower"
"37109","lower order",1,1,"lower"
"37094","lower order",1,1,"lower"
"37096","lower order",1,1,"lower"
"37097","lower order",1,1,"lower"
"37102","lower order",1,1,"lower"
"37110","lower order",1,1,"lower"
"19411","lower order",1,1,"lower"
"17183","lower order",1,1,"lower"
"17208","lower order",1,1,"lower"
"19385","lower order",1,1,"lower"
"15737","lower order",1,1,"lower"
"36874","lower order",1,1,"lower"
"19376","lower order",1,1,"lower"
"17192","lower order",1,1,"lower"
"17221","lower order",1,1,"lower"
"19390","lower order",1,1,"lower"
"32377","lower order",1,1,"lower"
"8742","lower order",1,1,"lower"
"5963","lower order",1,1,"lower"
"5968","lower order",1,1,"lower"
"5959","lower order",1,1,"lower"
"5965","lower order",1,1,"lower"
"5972","lower order",1,1,"lower"
"5973","lower order",1,1,"lower"
"5999","lower order",1,1,"lower"
"6010","lower order",1,1,"lower"
"6040","lower order",1,1,"lower"
"6041","lower order",1,1,"lower"
"6045","lower order",1,1,"lower"
"6046","lower order",1,1,"lower"
"6047","lower order",1,1,"lower"
"6048","lower order",1,1,"lower"
"6049","lower order",1,1,"lower"
"6050","lower order",1,1,"lower"
"6052","lower order",1,1,"lower"
"6053","lower order",1,1,"lower"
"6056","lower order",1,1,"lower"
"6035","lower order",1,1,"lower"
"6036","lower order",1,1,"lower"
"6037","lower order",1,1,"lower"
"6038","lower order",1,1,"lower"
"9385","lower order",1,1,"lower"
"9394","lower order",1,1,"lower"
"9397","lower order",1,1,"lower"
"9404","lower order",1,1,"lower"
"9406","lower order",1,1,"lower"
"9409","lower order",1,1,"lower"
"9411","lower order",1,1,"lower"
"9422","lower order",1,1,"lower"
"9426","lower order",1,1,"lower"
"9427","lower order",1,1,"lower"
"8920","lower order",1,1,"lower"
"8927","lower order",1,1,"lower"
"32378","lower order",1,1,"lower"
"24057","lower order",1,1,"lower"
"32379","lower order",1,1,"lower"
"32380","lower order",1,1,"lower"
"10207","lower order",1,1,"lower"
"18055","lower order",1,1,"lower"
"18056","lower order",1,1,"lower"
"24067","lower order",1,1,"lower"
"18109","lower order",1,1,"lower"
"18111","lower order",1,1,"lower"
"19820","lower order",1,1,"lower"
"15476","lower order",1,1,"lower"
"15771","lower order",1,1,"lower"
"19173","lower order",1,1,"lower"
"16576","lower order",1,1,"lower"
"19165","lower order",1,1,"lower"
"15868","lower order",1,1,"lower"
"16568","lower order",1,1,"lower"
"32387","lower order",1,1,"lower"
"32388","lower order",1,1,"lower"
"24076","lower order",1,1,"lower"
"15508","lower order",1,1,"lower"
"19139","lower order",1,1,"lower"
"19145","lower order",1,1,"lower"
"15934","lower order",1,1,"lower"
"15792","lower order",1,1,"lower"
"19147","lower order",1,1,"lower"
"19149","lower order",1,1,"lower"
"19153","lower order",1,1,"lower"
"19154","lower order",1,1,"lower"
"15783","lower order",1,1,"lower"
"15844","lower order",1,1,"lower"
"15902","lower order",1,1,"lower"
"19129","lower order",1,1,"lower"
"19135","lower order",1,1,"lower"
"19166","lower order",1,1,"lower"
"15864","lower order",1,1,"lower"
"19162","lower order",1,1,"lower"
"15738","lower order",1,1,"lower"
"19155","lower order",1,1,"lower"
"19169","lower order",1,1,"lower"
"15901","lower order",1,1,"lower"
"16558","lower order",1,1,"lower"
"15493","lower order",1,1,"lower"
"19138","lower order",1,1,"lower"
"19159","lower order",1,1,"lower"
"16333","lower order",1,1,"lower"
"16560","lower order",1,1,"lower"
"15707","lower order",1,1,"lower"
"15950","lower order",1,1,"lower"
"19142","lower order",1,1,"lower"
"19150","lower order",1,1,"lower"
"19174","lower order",1,1,"lower"
"16332","lower order",1,1,"lower"
"15937","lower order",1,1,"lower"
"19143","lower order",1,1,"lower"
