"set_lat","set_long","set_id","reef_id","location_id","region_id","mpa_compliance","Shark_fishing_restrictions","Shark_Protection_Status","Shark_Sanctuary","HDI","Government_Effectiveness","Population","Grav_Total","maxn","ingestion_C_g_day","mpa_present","Area_limits","Entrants_limits","Gear_limits","Species_limits","Catch_limits","Size_limits","Temporal_limits","mult_outcomes"
-16.95402,179.00056,"4876","604","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"1","1","1","0","1","0","0","0",0
-16.953295,179.001639,"20547","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,1,72,"0","1","1","0","1","0","0","0",0
-16.9530167,179.0009333,"19440","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,1,169.6706,"0","1","1","0","1","0","0","0",0
-16.95244,179.00253,"19508","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95184,179.00331,"4875","604","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,1,253,"1","1","1","0","1","0","0","0",0
-16.9512333,179.00235,"19439","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.94859,179.0527,"20472","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,169.6706,"1","1","1","0","1","0","0","0",0
-16.94782,179.05298,"8747","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,3,578,"1","1","1","0","1","0","0","0",1
-16.9478,179.0535167,"19420","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94769,179.0547,"19486","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,2,422.6706,"1","1","1","0","1","0","0","0",1
-16.94763,179.0517,"20477","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,253,"1","1","1","0","1","0","0","0",0
-16.94722,179.05826,"20482","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94717,179.05258,"19485","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94714,179.05255,"20490","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94689,179.05928,"20485","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94688,179.0562,"20493","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,169.6706,"1","1","1","0","1","0","0","0",0
-16.94673,179.05223,"20492","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94658,179.05058,"20473","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94655,179.0562167,"19421","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94648,179.05786,"8748","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9463,179.05775,"20502","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94614,179.06102,"20486","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94609,179.06181,"20484","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,253,"1","1","1","0","1","0","0","0",0
-16.94592,179.05167,"20489","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9454833,179.0580667,"19422","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94531,179.05121,"20491","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9453,179.05127,"19484","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,169.6706,"1","1","1","0","1","0","0","0",0
-16.94527,179.04955,"20476","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94526,179.05963,"20494","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94526,179.06352,"20483","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94522,179.06296,"20487","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.945,179.0510833,"19419","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9447,179.06056,"19487","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9446,179.06078,"20503","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94444,179.05072,"20488","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94444,179.06239,"8749","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9442333,179.0603333,"19423","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94386,179.06224,"20495","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94383,179.04919,"20474","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94364,179.0507,"8746","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94346,179.05188,"19483","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,169.6706,"1","1","1","0","1","0","0","0",0
-16.9432,179.0622,"19424","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94301,179.04854,"20475","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94297,179.06248,"19488","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94272,179.06769,"20480","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,253,"1","1","1","0","1","0","0","0",0
-16.94267,179.06329,"20504","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
